artistLabel,genreLabel,length
Annalisa,['pop music'],60386.0
Annar Follesø,['Baroque music'],4603.0
Annbjørg Lien,['traditional folk music'],6681.0
Anne Akiko Meyers,['classical music'],36852.0
Anne DeMarinis,['alternative rock'],4092.0
Anne Eline Riisnæs,['classical music'],3764.0
Anne Grete Preus,['rock music'],4604.0
Anne Janelle,['traditional folk music'],4724.0
Anne Laplantine,['electronic music'],5068.0
Anne Marie Almedal,['pop music'],4049.0
Anne Nørdsti,['country music'],2540.0
Anne Øland,['classical music'],5197.0
Annie Laurie,['jump blues'],11737.0
Annisteen Allen,['rhythm and blues'],4396.0
Anoraak,['synth-pop'],20334.0
Ansel Elgort,['contemporary R&B'],62545.0
Anssi Kela,"['Finnish rock', 'pop rock']",8550.0
Antero Manninen,"['heavy metal', 'symphonic metal']",2693.0
"Anthony ""Sooty"" Jones",['blues rock'],2298.0
Anthony Brown,['gospel music'],1822.0
Anthony Cox,['jazz'],690.0
